K,T,S,sigma,n,m,Error
79,0.45999999999999996,63.2,0.23,10,20,0.002151156068053934
79,0.45999999999999996,63.2,0.27,5,41,0.001243911579294875
79,0.45999999999999996,63.2,0.31,8,36,5.5122951486143725e-05
79,0.45999999999999996,63.2,0.36,6,9,0.010144769830446373
79,0.45999999999999996,63.2,0.4,6,22,0.0009050047589243006
79,0.45999999999999996,64.47999999999999,0.14,16,24,0.0014061542144998562
79,0.45999999999999996,64.47999999999999,0.19,6,12,0.00016195594852438667
79,0.45999999999999996,64.47999999999999,0.23,6,14,0.00016631142274825382
79,0.45999999999999996,64.47999999999999,0.27,5,24,0.0005672022323549892
79,0.45999999999999996,64.47999999999999,0.31,6,8,0.0005831628840856334
79,0.45999999999999996,64.47999999999999,0.36,6,9,0.006990053605813769
79,0.45999999999999996,64.47999999999999,0.4,6,20,0.0021463865203700527
79,0.45999999999999996,69.44,0.14,10,49,0.00043000516912120127
79,0.45999999999999996,69.44,0.19,10,64,0.01577757558940279
79,0.45999999999999996,69.44,0.23,5,6,0.012060318546895557
79,0.45999999999999996,69.44,0.27,5,9,0.00235820500936463
79,0.45999999999999996,69.44,0.31,6,14,0.0013213413022615179
79,0.45999999999999996,69.44,0.36,6,11,0.00747159754593582
79,0.45999999999999996,69.44,0.4,6,14,0.0006369653506487854
79,0.45999999999999996,69.52,0.14,10,55,0.000842396862859741
79,0.45999999999999996,69.52,0.19,10,64,0.017199229427216255
79,0.45999999999999996,69.52,0.23,5,6,0.012743651045064166
79,0.45999999999999996,69.52,0.27,5,9,0.0013221270746427104
79,0.45999999999999996,69.52,0.31,6,14,0.0004608191610892693
79,0.45999999999999996,69.52,0.36,6,11,0.007248183847799746
79,0.45999999999999996,69.52,0.4,6,14,0.0007786000533550916
79,0.45999999999999996,74.39999999999999,0.14,5,7,0.0006714681751804188
79,0.45999999999999996,74.39999999999999,0.19,5,5,0.009548776131952895
79,0.45999999999999996,74.39999999999999,0.23,5,5,0.003382229513541649
79,0.45999999999999996,74.39999999999999,0.27,5,6,0.004034890369261021
79,0.45999999999999996,74.39999999999999,0.31,5,12,0.003082540509662383
79,0.45999999999999996,74.39999999999999,0.36,6,14,0.0007882365407513344
79,0.45999999999999996,74.39999999999999,0.4,6,14,0.0019761433599764923
79,0.45999999999999996,75.84,0.14,4,32,2.0292066203795347e-05
79,0.45999999999999996,75.84,0.19,5,6,0.0022367257811524445
79,0.45999999999999996,75.84,0.23,5,5,0.006819932117133282
79,0.45999999999999996,75.84,0.27,5,6,0.0005872137312527211
79,0.45999999999999996,75.84,0.31,5,11,0.0017284444344626583
79,0.45999999999999996,75.84,0.36,6,17,0.0006410918251707827
79,0.45999999999999996,75.84,0.4,6,14,0.00022759749831189293
79,0.45999999999999996,79.2,0.14,4,9,0.0003772863682430141
79,0.45999999999999996,79.2,0.19,5,11,0.00041510854173072644
79,0.45999999999999996,79.2,0.23,5,6,0.004886336160436271
79,0.45999999999999996,79.2,0.27,5,6,0.001640594792195786
79,0.45999999999999996,79.2,0.31,5,8,0.0007910501199201162
79,0.45999999999999996,79.2,0.36,6,44,5.054852246320424e-05
79,0.45999999999999996,79.2,0.4,6,18,4.162578329031072e-05
79,0.45999999999999996,82.16,0.14,4,7,0.0003113732516853798
79,0.45999999999999996,82.16,0.19,5,46,6.955020998793683e-05
79,0.45999999999999996,82.16,0.23,5,9,0.00010363275214517863
79,0.45999999999999996,82.16,0.27,5,6,0.003462328707044708
79,0.45999999999999996,82.16,0.31,5,7,0.001994340748740208
79,0.45999999999999996,82.16,0.36,5,64,0.0020553145959388594
79,0.45999999999999996,82.16,0.4,6,32,0.00010226648578366545
79,0.45999999999999996,87.12,0.14,4,8,0.0010634323178746294
79,0.45999999999999996,87.12,0.19,4,17,0.00047138141284424863
79,0.45999999999999996,87.12,0.23,5,55,1.4883320742908166e-06
79,0.45999999999999996,87.12,0.27,5,9,0.001721419186933954
79,0.45999999999999996,87.12,0.31,5,8,0.0021715857581353225
79,0.45999999999999996,87.12,0.36,5,18,0.0005121205441728501
79,0.45999999999999996,87.12,0.4,6,64,0.012381515136636604
79,0.45999999999999996,88.47999999999999,0.14,4,11,0.0005966762045208596
79,0.45999999999999996,88.47999999999999,0.19,4,14,0.0009351798085595421
79,0.45999999999999996,88.47999999999999,0.23,5,64,0.0054771089409849415
79,0.45999999999999996,88.47999999999999,0.27,5,12,6.288994204006336e-05
79,0.45999999999999996,88.47999999999999,0.31,5,8,0.000410599494569436
79,0.45999999999999996,88.47999999999999,0.36,5,17,0.0006935458427964511
79,0.45999999999999996,88.47999999999999,0.4,6,64,0.016959486212080443
79,0.45999999999999996,94.8,0.14,5,64,0.01815354154326933
79,0.45999999999999996,94.8,0.19,4,11,0.0005712919430472949
79,0.45999999999999996,94.8,0.23,4,52,6.163709061515646e-05
79,0.45999999999999996,94.8,0.27,5,64,0.009543065515375211
79,0.45999999999999996,94.8,0.31,5,20,0.000221466638424255
79,0.45999999999999996,94.8,0.36,5,14,4.126356222000914e-05
79,0.45999999999999996,94.8,0.4,5,64,0.00885523779729585
79,0.45999999999999996,95.04,0.14,5,64,0.018865793088317463
79,0.45999999999999996,95.04,0.19,4,11,0.0003273920785589245
79,0.45999999999999996,95.04,0.23,4,41,7.054829863844747e-05
79,0.45999999999999996,95.04,0.27,5,64,0.010290481791078292
79,0.45999999999999996,95.04,0.31,5,22,0.0002693842966318619
79,0.45999999999999996,95.04,0.36,5,14,0.00018427625673805438
79,0.45999999999999996,95.04,0.4,5,64,0.008528481558632226
79,0.45999999999999996,100.0,0.14,5,4,0.03767097013796452
79,0.45999999999999996,100.0,0.19,4,64,0.00456817668287832
79,0.45999999999999996,100.0,0.23,4,12,0.00029944869646016895
79,0.45999999999999996,100.0,0.27,4,64,0.011318042471521841
79,0.45999999999999996,100.0,0.31,5,64,0.011790497885319278
79,0.45999999999999996,100.0,0.36,5,64,0.0001572737174461353
79,0.45999999999999996,100.0,0.4,5,64,0.0054935253202938695
79,0.64,58.8,0.14,19,39,0.0004741913551543256
79,0.64,58.8,0.19,5,12,0.00836052285420114
79,0.64,58.8,0.23,10,18,0.003896219217852141
79,0.64,58.8,0.27,8,11,0.005237038278418074
79,0.64,58.8,0.31,6,11,0.005663072467323776
79,0.64,58.8,0.36,4,11,0.002761473652101325
79,0.64,58.8,0.4,10,64,0.06889114584387562
79,0.64,59.519999999999996,0.14,19,32,0.0006232309945230757
79,0.64,59.519999999999996,0.19,12,20,0.006089579115742377
79,0.64,59.519999999999996,0.23,8,7,0.0019306499754672126
79,0.64,59.519999999999996,0.27,8,14,0.008296050934960398
79,0.64,59.519999999999996,0.31,6,11,0.007363436795687033
79,0.64,59.519999999999996,0.36,4,12,0.004044320462839545
79,0.64,59.519999999999996,0.4,10,64,0.07599557007614025
79,0.64,63.2,0.14,14,20,2.5574328353809538e-05
79,0.64,63.2,0.19,10,17,0.0013506905831161765
79,0.64,63.2,0.23,5,20,0.0017321428304924165
79,0.64,63.2,0.27,8,49,0.0007259281698806799
79,0.64,63.2,0.31,6,11,0.009787024477599313
79,0.64,63.2,0.36,4,60,0.00031414507192571175
79,0.64,63.2,0.4,6,64,0.10459233060329834
79,0.64,64.47999999999999,0.14,12,15,6.39335226447419e-05
79,0.64,64.47999999999999,0.19,10,24,0.0004777633533853093
79,0.64,64.47999999999999,0.23,8,18,0.0003170470631959027
79,0.64,64.47999999999999,0.27,6,8,0.0007733071733193463
79,0.64,64.47999999999999,0.31,6,11,0.009561197020789515
79,0.64,64.47999999999999,0.36,6,64,0.0029938193263449753
79,0.64,64.47999999999999,0.4,6,64,0.09502584333476173
79,0.64,69.44,0.14,10,64,0.0028753649303619013
79,0.64,69.44,0.19,8,64,0.0114319345594558
79,0.64,69.44,0.23,6,64,0.002014453537884647
79,0.64,69.44,0.27,6,12,0.004616525621857527
79,0.64,69.44,0.31,6,11,0.0020588725448632992
79,0.64,69.44,0.36,6,32,0.0005880463312303331
79,0.64,69.44,0.4,4,4,0.01852352215611185
79,0.64,69.52,0.14,10,64,0.0048392379037651674
79,0.64,69.52,0.19,8,64,0.01274034135398684
79,0.64,69.52,0.23,5,9,0.002377962381644153
79,0.64,69.52,0.27,6,14,0.004684757836394548
79,0.64,69.52,0.31,6,11,0.0018501074426378742
79,0.64,69.52,0.36,6,32,0.0004132661439987814
79,0.64,69.52,0.4,4,4,0.020118861169023634
79,0.64,74.39999999999999,0.14,5,7,0.0013466654927491981
79,0.64,74.39999999999999,0.19,5,6,0.00401793252866102
79,0.64,74.39999999999999,0.23,5,7,0.001505055702876072
79,0.64,74.39999999999999,0.27,5,20,0.00103980212864788
79,0.64,74.39999999999999,0.31,6,15,0.00024007217851982192
79,0.64,74.39999999999999,0.36,6,25,8.666687242370188e-05
79,0.64,74.39999999999999,0.4,4,11,0.002224048684097262
79,0.64,75.84,0.14,5,9,0.0034380701309514885
79,0.64,75.84,0.19,5,6,0.004292986017602491
79,0.64,75.84,0.23,5,7,0.0005983890555578294
79,0.64,75.84,0.27,5,17,0.0011471349823016347
79,0.64,75.84,0.31,6,18,0.0007055905150895503
79,0.64,75.84,0.36,6,25,5.064958142914996e-07
79,0.64,75.84,0.4,4,18,0.0004215862061401981
79,0.64,79.2,0.14,4,46,1.2972030226467373e-05
79,0.64,79.2,0.19,5,9,0.0032062373990256053
79,0.64,79.2,0.23,5,7,0.0014081184832804834
79,0.64,79.2,0.27,5,12,0.0004013152707653078
79,0.64,79.2,0.31,6,52,5.936687427282811e-05
79,0.64,79.2,0.36,6,30,0.00013914754729678501
79,0.64,79.2,0.4,6,64,0.02386785485495621
79,0.64,82.16,0.14,4,17,5.427718124967198e-05
79,0.64,82.16,0.19,5,14,0.0004453509247648981
79,0.64,82.16,0.23,5,8,0.0006434855979899994
79,0.64,82.16,0.27,5,11,0.0018876241085398703
79,0.64,82.16,0.31,6,64,0.012604472255343968
79,0.64,82.16,0.36,6,55,0.00010046338163108167
79,0.64,82.16,0.4,6,64,0.020138607066318173
79,0.64,87.12,0.14,4,12,1.1203086649037103e-05
79,0.64,87.12,0.19,5,64,0.008305673974330918
79,0.64,87.12,0.23,5,14,0.0004589677665002356
79,0.64,87.12,0.27,5,11,0.001346259674570439
79,0.64,87.12,0.31,5,64,0.0005187493991279168
79,0.64,87.12,0.36,6,64,0.011129791721369615
79,0.64,87.12,0.4,6,64,0.019215307583459976
79,0.64,88.47999999999999,0.14,4,12,0.0006316565243101125
79,0.64,88.47999999999999,0.19,5,64,0.012975521682101115
79,0.64,88.47999999999999,0.23,5,18,0.00014330449683152616
79,0.64,88.47999999999999,0.27,5,11,5.369033964620037e-05
79,0.64,88.47999999999999,0.31,5,49,0.00015585937122055896
79,0.64,88.47999999999999,0.36,6,64,0.014673870213834542
79,0.64,88.47999999999999,0.4,6,64,0.01991224017781761
79,0.64,94.8,0.14,4,64,0.00858681826300846
79,0.64,94.8,0.19,4,46,3.228505913356975e-05
79,0.64,94.8,0.23,5,64,0.011739523251289888
79,0.64,94.8,0.27,5,30,6.145995226937996e-05
79,0.64,94.8,0.31,5,32,6.122186498509356e-05
79,0.64,94.8,0.36,6,64,0.03214276762352581
79,0.64,94.8,0.4,6,64,0.02738830015075423
79,0.64,95.04,0.14,4,64,0.009715616324501334
79,0.64,95.04,0.19,4,41,4.86302980295719e-05
79,0.64,95.04,0.23,5,64,0.012383195214093349
79,0.64,95.04,0.27,5,34,2.0657167105389065e-05
79,0.64,95.04,0.31,5,32,4.475092229228788e-05
79,0.64,95.04,0.36,5,64,0.031601247069336307
79,0.64,95.04,0.4,6,64,0.02779408602491229
79,0.64,100.0,0.14,5,64,0.028134234918134892
79,0.64,100.0,0.19,4,24,0.00010536659097363387
79,0.64,100.0,0.23,4,64,0.013626741784780532
79,0.64,100.0,0.27,5,64,0.011355277024936413
79,0.64,100.0,0.31,5,64,0.0030713108966381993
79,0.64,100.0,0.36,5,64,0.020822381306310395
79,0.64,100.0,0.4,6,64,0.03793816503292277
79,0.82,58.8,0.14,19,57,0.0006684817967486919
79,0.82,58.8,0.19,10,12,0.0040400266594077935
79,0.82,58.8,0.23,8,9,0.006921911360689719
79,0.82,58.8,0.27,6,9,0.00014227144528455212
79,0.82,58.8,0.31,6,32,0.00012256420638926305
79,0.82,58.8,0.36,10,64,0.07486086589485541
79,0.82,58.8,0.4,8,64,0.05163052410569013
79,0.82,59.519999999999996,0.14,16,41,0.0017827791890017142
79,0.82,59.519999999999996,0.19,8,6,0.0009760790846245022
79,0.82,59.519999999999996,0.23,6,6,0.0001724699330480884
79,0.82,59.519999999999996,0.27,6,9,0.0002787854512373152
79,0.82,59.519999999999996,0.31,6,32,0.0006428672800152009
79,0.82,59.519999999999996,0.36,10,64,0.0816070901709433
79,0.82,59.519999999999996,0.4,8,64,0.05406364857184826
79,0.82,63.2,0.14,14,60,0.00017312537872548635
79,0.82,63.2,0.19,10,49,0.000450006051421944
79,0.82,63.2,0.23,8,25,0.0021251231188028482
79,0.82,63.2,0.27,6,9,0.005249661950630592
79,0.82,63.2,0.31,6,30,0.0012210404218643783
79,0.82,63.2,0.36,10,64,0.1108049191215149
79,0.82,63.2,0.4,8,64,0.06551982749600166
79,0.82,64.47999999999999,0.14,12,25,0.0024651464755585354
79,0.82,64.47999999999999,0.19,8,14,0.0003737586210172339
79,0.82,64.47999999999999,0.23,8,49,1.5386199335042763e-05
79,0.82,64.47999999999999,0.27,6,9,0.007071888165191177
79,0.82,64.47999999999999,0.31,6,27,0.0006037795895920744
79,0.82,64.47999999999999,0.36,6,64,0.10496846386546552
79,0.82,64.47999999999999,0.4,8,64,0.06943404675063898
79,0.82,69.44,0.14,10,64,0.01749691512895941
79,0.82,69.44,0.19,5,7,0.0062530165276004895
79,0.82,69.44,0.23,5,30,0.0003143142591324239
79,0.82,69.44,0.27,6,11,0.0020317143156904334
79,0.82,69.44,0.31,6,22,0.00010499992156278701
79,0.82,69.44,0.36,4,4,0.023622695590386298
79,0.82,69.44,0.4,8,64,0.08498418634754291
79,0.82,69.52,0.14,5,5,0.016311053563366013
79,0.82,69.52,0.19,5,7,0.005930193387049592
79,0.82,69.52,0.23,5,30,0.0008190636237483539
79,0.82,69.52,0.27,6,11,0.0023339224724785164
79,0.82,69.52,0.31,6,22,3.904288178142842e-05
79,0.82,69.52,0.36,4,4,0.02182288972175392
79,0.82,69.52,0.4,8,64,0.0852390976512947
79,0.82,74.39999999999999,0.14,5,7,0.003764728430763717
79,0.82,74.39999999999999,0.19,5,7,0.0017742363873940793
79,0.82,74.39999999999999,0.23,5,15,1.9427676639799128e-07
79,0.82,74.39999999999999,0.27,6,18,0.0010468139145016584
79,0.82,74.39999999999999,0.31,6,22,0.00048264671906730476
79,0.82,74.39999999999999,0.36,4,7,0.0016024917129000462
79,0.82,74.39999999999999,0.4,8,64,0.10076843064442491
79,0.82,75.84,0.14,5,9,0.0011193590433076633
79,0.82,75.84,0.19,5,7,0.0047823437257808014
79,0.82,75.84,0.23,5,14,0.0014834946835917558
79,0.82,75.84,0.27,6,25,0.00011991139929042804
79,0.82,75.84,0.31,6,24,0.00019695058481403722
79,0.82,75.84,0.36,4,9,0.0030818629543558312
79,0.82,75.84,0.4,8,64,0.10527741551877315
79,0.82,79.2,0.14,5,27,0.0007584922305371964
79,0.82,79.2,0.19,5,9,0.0008659349299759843
79,0.82,79.2,0.23,5,12,0.0006700672458381439
79,0.82,79.2,0.27,6,64,0.005615522188521359
79,0.82,79.2,0.31,6,36,0.00019020919460494733
79,0.82,79.2,0.36,4,64,0.0014534212556544933
79,0.82,79.2,0.4,4,4,0.05762278156049199
79,0.82,82.16,0.14,4,64,0.013012660299739656
79,0.82,82.16,0.19,5,12,0.00015284866921835778
79,0.82,82.16,0.23,5,12,0.0010746447773788918
79,0.82,82.16,0.27,5,64,0.012183762913335665
79,0.82,82.16,0.31,6,64,0.002982168693903313
79,0.82,82.16,0.36,6,64,0.030445753128444466
79,0.82,82.16,0.4,4,4,0.013124847802372946
79,0.82,87.12,0.14,4,34,0.00012671944299192915
79,0.82,87.12,0.19,5,44,0.00011966908557907111
79,0.82,87.12,0.23,5,14,0.00014460404973537253
79,0.82,87.12,0.27,5,64,0.0018907828512586776
79,0.82,87.12,0.31,6,64,0.016535777327714524
79,0.82,87.12,0.36,6,64,0.02707872396254532
79,0.82,87.12,0.4,4,7,0.0027702564330655084
79,0.82,88.47999999999999,0.14,4,27,5.0672051986405956e-05
79,0.82,88.47999999999999,0.19,5,64,0.0031851496619411256
79,0.82,88.47999999999999,0.23,5,17,0.0010258861953921553
79,0.82,88.47999999999999,0.27,5,64,0.00054263300680521
79,0.82,88.47999999999999,0.31,6,64,0.02031843619632271
79,0.82,88.47999999999999,0.36,6,64,0.027108937399855416
79,0.82,88.47999999999999,0.4,4,11,0.0016005707872078871
79,0.82,94.8,0.14,4,64,0.00084279698271578
79,0.82,94.8,0.19,5,64,0.018950343645972194
79,0.82,94.8,0.23,5,64,0.003433738435767852
79,0.82,94.8,0.27,5,64,0.00030852123074939043
79,0.82,94.8,0.31,5,64,0.0261916677785174
79,0.82,94.8,0.36,6,64,0.0316661305508209
79,0.82,94.8,0.4,4,64,0.025887250526271357
79,0.82,95.04,0.14,4,64,0.0015037750547115948
79,0.82,95.04,0.19,5,64,0.019339898857200187
79,0.82,95.04,0.23,5,64,0.004039603427140415
79,0.82,95.04,0.27,5,64,0.00046666028275257643
79,0.82,95.04,0.31,5,64,0.02563003844405407
79,0.82,95.04,0.36,6,64,0.031968648196348017
79,0.82,95.04,0.4,4,64,0.02737431038096169
79,0.82,100.0,0.14,4,64,0.01982418624941252
79,0.82,100.0,0.19,4,64,0.004832479624888637
79,0.82,100.0,0.23,5,64,0.016194931866269042
79,0.82,100.0,0.27,5,64,0.006088470295309971
79,0.82,100.0,0.31,5,64,0.017623737752050485
79,0.82,100.0,0.36,6,64,0.04012287294455893
79,0.82,100.0,0.4,4,64,0.05154573230324077
79,1.0,58.8,0.14,14,24,0.002465305056660797
79,1.0,58.8,0.19,10,24,0.0006359304150661459
79,1.0,58.8,0.23,6,7,0.00171900438032429
79,1.0,58.8,0.27,6,15,0.0001750983643009043
79,1.0,58.8,0.31,10,64,0.057449813850941896
79,1.0,58.8,0.36,8,64,0.05222750839487351
79,1.0,58.8,0.4,8,64,0.06175563289691651
79,1.0,59.519999999999996,0.14,10,7,0.0003312708984099122
79,1.0,59.519999999999996,0.19,10,32,8.436715800095783e-05
79,1.0,59.519999999999996,0.23,8,20,0.00037465134046753805
79,1.0,59.519999999999996,0.27,6,15,0.0007605030354815571
79,1.0,59.519999999999996,0.31,6,64,0.06510678768506385
79,1.0,59.519999999999996,0.36,8,64,0.05513795156565307
79,1.0,59.519999999999996,0.4,8,64,0.0628862978361821
79,1.0,63.2,0.14,12,34,0.0006388747961498922
79,1.0,63.2,0.19,8,14,0.003509291394512145
79,1.0,63.2,0.23,6,8,0.0026164315079940568
79,1.0,63.2,0.27,6,15,0.003905884673641001
79,1.0,63.2,0.31,6,64,0.056648017892658886
79,1.0,63.2,0.36,8,64,0.06842475729509512
79,1.0,63.2,0.4,8,64,0.06642363917140284
79,1.0,64.47999999999999,0.14,10,17,0.002145603543913788
79,1.0,64.47999999999999,0.19,8,20,0.000605046272092127
79,1.0,64.47999999999999,0.23,6,9,0.005027362227916754
79,1.0,64.47999999999999,0.27,6,17,0.0039045671235634983
79,1.0,64.47999999999999,0.31,4,5,0.034664464611794135
79,1.0,64.47999999999999,0.36,8,64,0.07277372877759147
79,1.0,64.47999999999999,0.4,8,64,0.06740585376115793
79,1.0,69.44,0.14,8,64,0.014014802055779863
79,1.0,69.44,0.19,5,11,0.00032390109081735036
79,1.0,69.44,0.23,6,12,0.003519560233118723
79,1.0,69.44,0.27,6,17,0.001184388635451321
79,1.0,69.44,0.31,4,9,0.0002163153510697981
79,1.0,69.44,0.36,8,64,0.08928869895016232
79,1.0,69.44,0.4,8,64,0.07244378862413729
79,1.0,69.52,0.14,8,64,0.01559539865553557
79,1.0,69.52,0.19,5,11,9.942608989974918e-05
79,1.0,69.52,0.23,6,12,0.004092200592177901
79,1.0,69.52,0.27,6,17,0.0011019509604030169
79,1.0,69.52,0.31,4,9,0.0014434135008830993
79,1.0,69.52,0.36,8,64,0.08955158210746643
79,1.0,69.52,0.4,8,64,0.07254869759094548
79,1.0,74.39999999999999,0.14,5,8,0.0018462225666280735
79,1.0,74.39999999999999,0.19,5,11,0.005622007508291644
79,1.0,74.39999999999999,0.23,6,36,1.5418955009839402e-05
79,1.0,74.39999999999999,0.27,6,22,0.0007638323126460141
79,1.0,74.39999999999999,0.31,4,64,0.019361657251095045
79,1.0,74.39999999999999,0.36,8,64,0.10524150315840303
79,1.0,74.39999999999999,0.4,8,64,0.08051991296079017
79,1.0,75.84,0.14,5,9,0.004432821203406917
79,1.0,75.84,0.19,5,11,0.004537144935091628
79,1.0,75.84,0.23,6,64,0.002972504360988613
79,1.0,75.84,0.27,6,25,4.842720016780918e-05
79,1.0,75.84,0.31,6,64,0.02138052026155904
79,1.0,75.84,0.36,8,64,0.10969910463877494
79,1.0,75.84,0.4,8,64,0.08343825770237788
79,1.0,79.2,0.14,5,20,0.0007052506790759202
79,1.0,79.2,0.19,5,11,0.0008136961245702519
79,1.0,79.2,0.23,5,64,0.002346038366722791
79,1.0,79.2,0.27,6,55,0.00012667501216594124
79,1.0,79.2,0.31,6,64,0.01858462345825933
79,1.0,79.2,0.36,4,5,0.06044006026551576
79,1.0,79.2,0.4,8,64,0.09114411740740372
79,1.0,82.16,0.14,5,64,0.0070138795612356706
79,1.0,82.16,0.19,5,14,0.0009947566039105286
79,1.0,82.16,0.23,5,46,0.00017570227243685744
79,1.0,82.16,0.27,6,64,0.008806445899377395
79,1.0,82.16,0.31,6,64,0.018311397657694888
79,1.0,82.16,0.36,4,5,0.01603287171494557
79,1.0,82.16,0.4,8,64,0.09886847662071091
79,1.0,87.12,0.14,4,64,0.013381740339028406
79,1.0,87.12,0.19,5,27,0.0005159835464412698
79,1.0,87.12,0.23,5,34,0.00014117450650392752
79,1.0,87.12,0.27,6,64,0.024189370821702375
79,1.0,87.12,0.31,6,64,0.021455249019954496
79,1.0,87.12,0.36,4,11,0.0014745600573058324
79,1.0,87.12,0.4,4,5,0.1015421392344994
79,1.0,88.47999999999999,0.14,4,64,0.008593474596648843
79,1.0,88.47999999999999,0.19,5,44,0.00010521679808397777
79,1.0,88.47999999999999,0.23,5,36,0.00013829398615012724
79,1.0,88.47999999999999,0.27,6,64,0.02815271289020372
79,1.0,88.47999999999999,0.31,6,64,0.022965937261663075
79,1.0,88.47999999999999,0.36,4,18,0.0004582975078812353
79,1.0,88.47999999999999,0.4,4,5,0.08300373744205494
79,1.0,94.8,0.14,4,64,0.0006587165805041728
79,1.0,94.8,0.19,5,64,0.013788797460006299
79,1.0,94.8,0.23,5,64,0.002319403374843004
79,1.0,94.8,0.27,5,64,0.01853683420495323
79,1.0,94.8,0.31,6,64,0.03296757490888019
79,1.0,94.8,0.36,4,64,0.034975067514814245
79,1.0,94.8,0.4,4,5,0.014944675740166686
79,1.0,95.04,0.14,4,64,0.0007946800517222101
79,1.0,95.04,0.19,5,64,0.014280588548098676
79,1.0,95.04,0.23,5,64,0.0026434772578598723
79,1.0,95.04,0.27,5,64,0.018178315281380704
79,1.0,95.04,0.31,6,64,0.03343573339765892
79,1.0,95.04,0.36,4,64,0.036343533141642174
79,1.0,95.04,0.4,4,5,0.012865250486081892
79,1.0,100.0,0.14,4,64,0.010587543350644903
79,1.0,100.0,0.19,4,64,0.022525473390336666
79,1.0,100.0,0.23,5,64,0.01092329801899104
79,1.0,100.0,0.27,5,64,0.013924244968105015
79,1.0,100.0,0.31,6,64,0.044449457560792036
79,1.0,100.0,0.36,6,64,0.05324671627865996
79,1.0,100.0,0.4,4,9,0.001418628877961275
79,1.0,58.8,0.14,14,24,0.002465305056660797
79,1.0,58.8,0.19,10,24,0.0006359304150661459
79,1.0,58.8,0.23,6,7,0.00171900438032429
79,1.0,58.8,0.27,6,15,0.0001750983643009043
79,1.0,58.8,0.31,10,64,0.057449813850941896
79,1.0,58.8,0.36,8,64,0.05222750839487351
79,1.0,58.8,0.4,8,64,0.06175563289691651
79,1.0,59.519999999999996,0.14,10,7,0.0003312708984099122
79,1.0,59.519999999999996,0.19,10,32,8.436715800095783e-05
79,1.0,59.519999999999996,0.23,8,20,0.00037465134046753805
79,1.0,59.519999999999996,0.27,6,15,0.0007605030354815571
79,1.0,59.519999999999996,0.31,6,64,0.06510678768506385
79,1.0,59.519999999999996,0.36,8,64,0.05513795156565307
79,1.0,59.519999999999996,0.4,8,64,0.0628862978361821
79,1.0,63.2,0.14,12,34,0.0006388747961498922
79,1.0,63.2,0.19,8,14,0.003509291394512145
79,1.0,63.2,0.23,6,8,0.0026164315079940568
79,1.0,63.2,0.27,6,15,0.003905884673641001
79,1.0,63.2,0.31,6,64,0.056648017892658886
79,1.0,63.2,0.36,8,64,0.06842475729509512
79,1.0,63.2,0.4,8,64,0.06642363917140284
79,1.0,64.47999999999999,0.14,10,17,0.002145603543913788
79,1.0,64.47999999999999,0.19,8,20,0.000605046272092127
79,1.0,64.47999999999999,0.23,6,9,0.005027362227916754
79,1.0,64.47999999999999,0.27,6,17,0.0039045671235634983
79,1.0,64.47999999999999,0.31,4,5,0.034664464611794135
79,1.0,64.47999999999999,0.36,8,64,0.07277372877759147
79,1.0,64.47999999999999,0.4,8,64,0.06740585376115793
79,1.0,69.44,0.14,8,64,0.014014802055779863
79,1.0,69.44,0.19,5,11,0.00032390109081735036
79,1.0,69.44,0.23,6,12,0.003519560233118723
79,1.0,69.44,0.27,6,17,0.001184388635451321
79,1.0,69.44,0.31,4,9,0.0002163153510697981
79,1.0,69.44,0.36,8,64,0.08928869895016232
79,1.0,69.44,0.4,8,64,0.07244378862413729
79,1.0,69.52,0.14,8,64,0.01559539865553557
79,1.0,69.52,0.19,5,11,9.942608989974918e-05
79,1.0,69.52,0.23,6,12,0.004092200592177901
79,1.0,69.52,0.27,6,17,0.0011019509604030169
79,1.0,69.52,0.31,4,9,0.0014434135008830993
79,1.0,69.52,0.36,8,64,0.08955158210746643
79,1.0,69.52,0.4,8,64,0.07254869759094548
79,1.0,74.39999999999999,0.14,5,8,0.0018462225666280735
79,1.0,74.39999999999999,0.19,5,11,0.005622007508291644
79,1.0,74.39999999999999,0.23,6,36,1.5418955009839402e-05
79,1.0,74.39999999999999,0.27,6,22,0.0007638323126460141
79,1.0,74.39999999999999,0.31,4,64,0.019361657251095045
79,1.0,74.39999999999999,0.36,8,64,0.10524150315840303
79,1.0,74.39999999999999,0.4,8,64,0.08051991296079017
79,1.0,75.84,0.14,5,9,0.004432821203406917
79,1.0,75.84,0.19,5,11,0.004537144935091628
79,1.0,75.84,0.23,6,64,0.002972504360988613
79,1.0,75.84,0.27,6,25,4.842720016780918e-05
79,1.0,75.84,0.31,6,64,0.02138052026155904
79,1.0,75.84,0.36,8,64,0.10969910463877494
79,1.0,75.84,0.4,8,64,0.08343825770237788
79,1.0,79.2,0.14,5,20,0.0007052506790759202
79,1.0,79.2,0.19,5,11,0.0008136961245702519
79,1.0,79.2,0.23,5,64,0.002346038366722791
79,1.0,79.2,0.27,6,55,0.00012667501216594124
79,1.0,79.2,0.31,6,64,0.01858462345825933
79,1.0,79.2,0.36,4,5,0.06044006026551576
79,1.0,79.2,0.4,8,64,0.09114411740740372
79,1.0,82.16,0.14,5,64,0.0070138795612356706
79,1.0,82.16,0.19,5,14,0.0009947566039105286
79,1.0,82.16,0.23,5,46,0.00017570227243685744
79,1.0,82.16,0.27,6,64,0.008806445899377395
79,1.0,82.16,0.31,6,64,0.018311397657694888
